submission_date,new_case
2020-12-20,65418
2020-12-21,70458
2020-12-22,92159
2020-12-23,91294
2020-12-24,59310
2020-12-25,55322
2020-12-26,83159
2020-12-27,51447
2020-12-28,81772
2020-12-29,94464
2020-12-30,107310
2020-12-31,110355
2021-01-01,68561
2021-01-02,94268
2021-01-03,78779
2021-01-04,77531
2021-01-05,115976
2021-01-06,112492
2021-01-07,125366
2021-01-08,143200
2021-01-09,86554
2021-01-10,79265
2021-01-11,85242
2021-01-12,99242
2021-01-13,100856
2021-01-14,96142
2021-01-15,97382
2021-01-16,90898
2021-01-17,67797
2021-01-18,32702
2021-01-19,105111
2021-01-20,81231
2021-01-21,85979
2021-01-22,83056
2021-01-23,76399
2021-01-24,60216
2021-01-25,60844
2021-01-26,69106
2021-01-27,73187
2021-01-28,69264
2021-01-29,67032
2021-01-30,56440
2021-01-31,42489
2021-02-01,48557
2021-02-02,52681
2021-02-03,47188
2021-02-04,54537
2021-02-05,56842
2021-02-06,49925
2021-02-07,35628
2021-02-08,38340
2021-02-09,44746
2021-02-10,46181
2021-02-11,44178
2021-02-12,43946
2021-02-13,37558
2021-02-14,26352
2021-02-15,26924
2021-02-16,29576
2021-02-17,34103
2021-02-18,34951
2021-02-19,34970
2021-02-20,31645
2021-02-21,23572
2021-02-22,27318
2021-02-23,33933
2021-02-24,35083
2021-02-25,33715
2021-02-26,34182
2021-02-27,30281
2021-02-28,22339
2021-03-01,26474
2021-03-02,26619
2021-03-03,31908
2021-03-04,30133
2021-03-05,30657
2021-03-06,27719
2021-03-07,19978
2021-03-08,22172
2021-03-09,27751
2021-03-10,29719
2021-03-11,30575
2021-03-12,30432
2021-03-13,25524
2021-03-14,21629
2021-03-15,23397
2021-03-16,27990
2021-03-17,30645
2021-03-18,32967
2021-03-19,32646
2021-03-20,29422
2021-03-21,23089
2021-03-22,26852
2021-03-23,32449
2021-03-24,36988
2021-03-25,35109
2021-03-26,39791
2021-03-27,32456
2021-03-28,26947
2021-03-29,31475
2021-03-30,34824
2021-03-31,37677
2021-04-01,39962
2021-04-02,37641
2021-04-03,31820
2021-04-04,22708
2021-04-05,33020
2021-04-06,35144
2021-04-07,40678
2021-04-08,40819
2021-04-09,40201
2021-04-10,33492
2021-04-11,28292
2021-04-12,32587
2021-04-13,38431
2021-04-14,38882
2021-04-15,36624
2021-04-16,37920
2021-04-17,31405
2021-04-18,25142
2021-04-19,25508
2021-04-20,30252
2021-04-21,31298
2021-04-22,32010
2021-04-23,30917
2021-04-24,26433
2021-04-25,20027
2021-04-26,21025
2021-04-27,26342
2021-04-28,26841
2021-04-29,28803
2021-04-30,25713
2021-05-01,23315
2021-05-02,18031
2021-05-03,16005
2021-05-04,21001
2021-05-05,22899
2021-05-06,21236
2021-05-07,21111
2021-05-08,16912
2021-05-09,12256
2021-05-10,11930
2021-05-11,16153
2021-05-12,16328
2021-05-13,16641
2021-05-14,15532
2021-05-15,13163
2021-05-16,9655
2021-05-17,9548
2021-05-18,12969
2021-05-19,13352
2021-05-20,13115
2021-05-21,12294
2021-05-22,9800
2021-05-23,6983
2021-05-24,7543
2021-05-25,9948
2021-05-26,10287
2021-05-27,9539
2021-05-28,9010
2021-05-29,7032
2021-05-30,5230
2021-05-31,4126
2021-06-01,4426
2021-06-02,7415
2021-06-03,7240
2021-06-04,7216
2021-06-05,5604
2021-06-06,4522
2021-06-07,4556
2021-06-08,6069
2021-06-09,5863
2021-06-10,5965
2021-06-11,5920
2021-06-12,4952
2021-06-13,3646
2021-06-14,3534
2021-06-15,5122
2021-06-16,5441
2021-06-17,5151
2021-06-18,4364
2021-06-19,4083
2021-06-20,3848
2021-06-21,3433
2021-06-22,5032
2021-06-23,5648
2021-06-24,5678
2021-06-25,5193
2021-06-26,4537
2021-06-27,3468
2021-06-28,3868
2021-06-29,5579
2021-06-30,6004
2021-07-01,6151
2021-07-02,5825
2021-07-03,4620
2021-07-04,3966
2021-07-05,3590
2021-07-06,5477
2021-07-07,7854
2021-07-08,8855
2021-07-09,9209
2021-07-10,7019
2021-07-11,6569
2021-07-12,6724
2021-07-13,10426
2021-07-14,11511
2021-07-15,12598
2021-07-16,12683
2021-07-17,11645
2021-07-18,10882
2021-07-19,12595
2021-07-20,16291
2021-07-21,19609
2021-07-22,22437
2021-07-23,20627
2021-07-24,7130
2021-07-25,5592
