,date,total_cases,new_cases,population,people_vaccinated,people_fully_vaccinated,new_vaccinations
0,2020-01-21,,,51269183.0,,,
1,2020-01-22,1.0,,51269183.0,,,
2,2020-01-23,1.0,0.0,51269183.0,,,
3,2020-01-24,2.0,1.0,51269183.0,,,
4,2020-01-25,2.0,0.0,51269183.0,,,
5,2020-01-26,3.0,1.0,51269183.0,,,
6,2020-01-27,4.0,1.0,51269183.0,,,
7,2020-01-28,4.0,0.0,51269183.0,,,
8,2020-01-29,4.0,0.0,51269183.0,,,
9,2020-01-30,4.0,0.0,51269183.0,,,
10,2020-01-31,11.0,7.0,51269183.0,,,
11,2020-02-01,12.0,1.0,51269183.0,,,
12,2020-02-02,15.0,3.0,51269183.0,,,
13,2020-02-03,15.0,0.0,51269183.0,,,
14,2020-02-04,16.0,1.0,51269183.0,,,
15,2020-02-05,19.0,3.0,51269183.0,,,
16,2020-02-06,23.0,4.0,51269183.0,,,
17,2020-02-07,24.0,1.0,51269183.0,,,
18,2020-02-08,24.0,0.0,51269183.0,,,
19,2020-02-09,25.0,1.0,51269183.0,,,
20,2020-02-10,27.0,2.0,51269183.0,,,
21,2020-02-11,28.0,1.0,51269183.0,,,
22,2020-02-12,28.0,0.0,51269183.0,,,
23,2020-02-13,28.0,0.0,51269183.0,,,
24,2020-02-14,28.0,0.0,51269183.0,,,
25,2020-02-15,28.0,0.0,51269183.0,,,
26,2020-02-16,29.0,1.0,51269183.0,,,
27,2020-02-17,30.0,1.0,51269183.0,,,
28,2020-02-18,31.0,1.0,51269183.0,,,
29,2020-02-19,31.0,0.0,51269183.0,,,
30,2020-02-20,104.0,73.0,51269183.0,,,
31,2020-02-21,204.0,100.0,51269183.0,,,
32,2020-02-22,433.0,229.0,51269183.0,,,
33,2020-02-23,602.0,169.0,51269183.0,,,
34,2020-02-24,833.0,231.0,51269183.0,,,
35,2020-02-25,977.0,144.0,51269183.0,,,
36,2020-02-26,1261.0,284.0,51269183.0,,,
37,2020-02-27,1766.0,505.0,51269183.0,,,
38,2020-02-28,2337.0,571.0,51269183.0,,,
39,2020-02-29,3150.0,813.0,51269183.0,,,
40,2020-03-01,3736.0,586.0,51269183.0,,,
41,2020-03-02,4335.0,599.0,51269183.0,,,
42,2020-03-03,5186.0,851.0,51269183.0,,,
43,2020-03-04,5621.0,435.0,51269183.0,,,
44,2020-03-05,6088.0,467.0,51269183.0,,,
45,2020-03-06,6593.0,505.0,51269183.0,,,
46,2020-03-07,7041.0,448.0,51269183.0,,,
47,2020-03-08,7314.0,273.0,51269183.0,,,
48,2020-03-09,7478.0,164.0,51269183.0,,,
49,2020-03-10,7513.0,35.0,51269183.0,,,
50,2020-03-11,7755.0,242.0,51269183.0,,,
51,2020-03-12,7869.0,114.0,51269183.0,,,
52,2020-03-13,7979.0,110.0,51269183.0,,,
53,2020-03-14,8086.0,107.0,51269183.0,,,
54,2020-03-15,8162.0,76.0,51269183.0,,,
55,2020-03-16,8236.0,74.0,51269183.0,,,
56,2020-03-17,8320.0,84.0,51269183.0,,,
57,2020-03-18,8413.0,93.0,51269183.0,,,
58,2020-03-19,8565.0,152.0,51269183.0,,,
59,2020-03-20,8652.0,87.0,51269183.0,,,
60,2020-03-21,8799.0,147.0,51269183.0,,,
61,2020-03-22,8961.0,162.0,51269183.0,,,
62,2020-03-23,8961.0,0.0,51269183.0,,,
63,2020-03-24,9037.0,76.0,51269183.0,,,
64,2020-03-25,9137.0,100.0,51269183.0,,,
65,2020-03-26,9241.0,104.0,51269183.0,,,
66,2020-03-27,9332.0,91.0,51269183.0,,,
67,2020-03-28,9478.0,146.0,51269183.0,,,
68,2020-03-29,9583.0,105.0,51269183.0,,,
69,2020-03-30,9661.0,78.0,51269183.0,,,
70,2020-03-31,9786.0,125.0,51269183.0,,,
71,2020-04-01,9887.0,101.0,51269183.0,,,
72,2020-04-02,9976.0,89.0,51269183.0,,,
73,2020-04-03,10062.0,86.0,51269183.0,,,
74,2020-04-04,10156.0,94.0,51269183.0,,,
75,2020-04-05,10237.0,81.0,51269183.0,,,
76,2020-04-06,10284.0,47.0,51269183.0,,,
77,2020-04-07,10331.0,47.0,51269183.0,,,
78,2020-04-08,10384.0,53.0,51269183.0,,,
79,2020-04-09,10423.0,39.0,51269183.0,,,
80,2020-04-10,10450.0,27.0,51269183.0,,,
81,2020-04-11,10480.0,30.0,51269183.0,,,
82,2020-04-12,10512.0,32.0,51269183.0,,,
83,2020-04-13,10537.0,25.0,51269183.0,,,
84,2020-04-14,10564.0,27.0,51269183.0,,,
85,2020-04-15,10591.0,27.0,51269183.0,,,
86,2020-04-16,10613.0,22.0,51269183.0,,,
87,2020-04-17,10635.0,22.0,51269183.0,,,
88,2020-04-18,10653.0,18.0,51269183.0,,,
89,2020-04-19,10661.0,8.0,51269183.0,,,
90,2020-04-20,10674.0,13.0,51269183.0,,,
91,2020-04-21,10683.0,9.0,51269183.0,,,
92,2020-04-22,10694.0,11.0,51269183.0,,,
93,2020-04-23,10708.0,14.0,51269183.0,,,
94,2020-04-24,10718.0,10.0,51269183.0,,,
95,2020-04-25,10728.0,10.0,51269183.0,,,
96,2020-04-26,10738.0,10.0,51269183.0,,,
97,2020-04-27,10752.0,14.0,51269183.0,,,
98,2020-04-28,10761.0,9.0,51269183.0,,,
99,2020-04-29,10765.0,4.0,51269183.0,,,
100,2020-04-30,10774.0,9.0,51269183.0,,,
101,2020-05-01,10780.0,6.0,51269183.0,,,
102,2020-05-02,10793.0,13.0,51269183.0,,,
103,2020-05-03,10801.0,8.0,51269183.0,,,
104,2020-05-04,10804.0,3.0,51269183.0,,,
105,2020-05-05,10806.0,2.0,51269183.0,,,
106,2020-05-06,10810.0,4.0,51269183.0,,,
107,2020-05-07,10822.0,12.0,51269183.0,,,
108,2020-05-08,10840.0,18.0,51269183.0,,,
109,2020-05-09,10874.0,34.0,51269183.0,,,
110,2020-05-10,10909.0,35.0,51269183.0,,,
