,date,total_cases,new_cases,population,people_vaccinated,people_fully_vaccinated,new_vaccinations
1,2021-02-27,89676,355,51269183,21731,0,1424
2,2021-02-28,90031,355,51269183,22595,0,864
3,2021-03-01,90372,341,51269183,24070,0,1475
4,2021-03-02,90816,444,51269183,90484,0,66414
5,2021-03-03,91240,424,51269183,159921,0,69437
6,2021-03-04,91638,398,51269183,230261,0,70340
7,2021-03-05,92055,417,51269183,300717,0,70456
8,2021-03-06,92471,416,51269183,318725,0,18008
9,2021-03-07,92817,346,51269183,320800,0,2075
10,2021-03-08,93263,446,51269183,388227,0,67427
11,2021-03-09,93733,470,51269183,451601,0,63374
12,2021-03-10,94198,465,51269183,505616,0,54015
13,2021-03-11,94686,488,51269183,550059,0,44443
14,2021-03-12,95176,490,51269183,588149,0,38090
15,2021-03-13,95635,459,51269183,591984,0,3835
16,2021-03-14,96017,382,51269183,593154,0,1170
17,2021-03-15,96380,363,51269183,605606,0,12452
18,2021-03-16,96849,469,51269183,624434,0,18828
19,2021-03-17,97294,445,51269183,644218,0,19784
20,2021-03-18,97757,463,51269183,663500,0,19282
21,2021-03-19,98209,452,51269183,680303,0,16803
22,2021-03-20,98665,456,51269183,681538,313,1548
23,2021-03-21,99075,410,51269183,681538,593,280
24,2021-03-22,99421,346,51269183,685208,883,3960
25,2021-03-23,99846,425,51269183,706971,1498,22378
26,2021-03-24,100276,430,51269183,737477,2692,31700
27,2021-03-25,100770,494,51269183,771880,3834,35545
28,2021-03-26,101275,505,51269183,796647,5233,26166
29,2021-03-27,101757,482,51269183,797928,5233,1281
30,2021-03-28,102141,384,51269183,797973,5233,45
31,2021-03-29,102582,441,51269183,825894,6152,28840
32,2021-03-30,103088,506,51269183,855858,8188,32000
33,2021-03-31,103639,551,51269183,879959,12977,28890
34,2021-04-01,104194,555,51269183,917508,20244,44816
35,2021-04-02,104736,542,51269183,956996,26842,46086
36,2021-04-03,105279,543,51269183,965583,27386,9131
37,2021-04-04,105752,473,51269183,966213,27452,696
38,2021-04-05,106230,478,51269183,1003113,27769,37217
39,2021-04-06,106898,668,51269183,1041977,33513,44608
40,2021-04-07,107598,700,51269183,1079635,42754,46899
41,2021-04-08,108269,671,51269183,1116799,52254,46664
42,2021-04-09,108945,676,51269183,1150446,59540,40933
43,2021-04-10,109559,614,51269183,1159244,60629,9887
44,2021-04-11,110146,587,51269183,1159549,60629,305
45,2021-04-12,110688,542,51269183,1197864,60654,38340
