,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"39,795","3,640,808","4,188","1,329,899"
부산,"15,738","1,350,732",382,"477,789"
대구,"10,673","846,936",197,"309,059"
인천,"14,748","1,029,393",402,"360,899"
광주,"6,998","549,351",214,"204,413"
대전,"5,864","522,959",143,"197,573"
울산,"5,117","396,230",72,"124,831"
세종,"2,068","109,016",69,"37,618"
경기,"58,132","4,625,726","5,744","1,636,240"
강원,"4,688","668,033",161,"273,243"
충북,"6,385","638,664",202,"240,701"
충남,"7,656","848,897",280,"330,571"
전북,"6,600","788,523",181,"311,942"
전남,"6,152","858,860",245,"344,277"
경북,"8,512","1,070,140",400,"409,725"
경남,"12,444","1,249,007",313,"464,102"
제주,"2,713","250,845",147,"93,040"
