,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"74,786","3,374,265","9,381","1,294,060"
부산,"22,619","1,252,726","3,756","464,911"
대구,"16,201","770,963","3,338","298,176"
인천,"22,026","940,010","2,075","353,078"
광주,"9,642","496,506","1,020","201,182"
대전,"10,520","476,909","1,577","190,810"
울산,"12,395","351,105",874,"122,518"
세종,"2,544","95,668",230,"36,335"
경기,"104,771","4,224,856","8,921","1,593,485"
강원,"10,085","624,878","1,400","268,361"
충북,"10,640","590,479","1,403","236,021"
충남,"15,623","784,424","1,531","322,262"
전북,"12,368","733,550","1,451","306,877"
전남,"12,458","807,699","1,410","338,983"
경북,"17,386","995,094","3,205","401,035"
경남,"21,722","1,152,924","2,639","454,016"
제주,"4,970","230,882",369,"90,560"
