,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
30890,2021-01-01,VA,358755,299963.0,58792.0,3988,1079.0,5117,4509.0,608.0,36,5.0,01/02/2021 02:50:51 PM,Agree,Agree
18032,2021-01-01,MP,122,122.0,0.0,0,0.0,2,2.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
20771,2021-01-01,UT,279722,279722.0,0.0,3110,0.0,1278,1252.0,26.0,9,1.0,01/02/2021 02:50:51 PM,Agree,Agree
14277,2021-01-01,GA,677589,575395.0,102194.0,11137,2418.0,10958,9889.0,1069.0,24,7.0,01/02/2021 02:50:51 PM,Agree,Agree
15106,2021-01-01,TN,612373,532992.0,79381.0,6165,1944.0,7875,6647.0,1228.0,100,26.0,01/01/2021 12:00:00 AM,Agree,Agree
7644,2021-01-01,WY,44409,38010.0,6399.0,0,0.0,438,438.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
18892,2021-01-01,CO,337161,322944.0,14217.0,3064,141.0,4873,4221.0,652.0,59,6.0,01/02/2021 02:50:51 PM,Agree,Agree
13370,2021-01-01,PR,77932,73162.0,4770.0,878,43.0,1526,1261.0,265.0,5,1.0,01/02/2021 02:50:51 PM,Agree,Agree
20836,2021-01-01,NYC,448506,396615.0,51891.0,6034,1061.0,25107,20358.0,4749.0,46,5.0,12/30/2020 12:00:00 AM,Agree,Agree
25739,2021-01-01,CT,185708,174679.0,11029.0,0,0.0,5995,4854.0,1141.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
29487,2021-01-01,MT,81555,81555.0,0.0,0,0.0,961,961.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
24392,2021-01-01,ID,141077,116717.0,24360.0,0,0.0,1436,1269.0,167.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
7935,2021-01-01,AZ,530622,504153.0,26469.0,10063,1379.0,9015,8128.0,887.0,151,29.0,01/02/2021 02:50:51 PM,Agree,Agree
26282,2021-01-01,MI,590912,542839.0,48073.0,1998,165.0,13921,13135.0,786.0,99,7.0,01/02/2021 12:00:00 AM,Agree,Agree
30059,2021-01-01,OR,113909,112189.0,1720.0,0,0.0,1477,1462.0,15.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
16420,2021-01-01,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
22973,2021-01-01,OH,700380,628336.0,72044.0,0,0.0,8962,8112.0,850.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
5451,2021-01-01,MS,223753,151719.0,72034.0,1825,1103.0,5666,4236.0,1430.0,28,14.0,01/03/2021 12:00:00 AM,Agree,Agree
10165,2021-01-01,OK,329026,268550.0,60476.0,3502,1016.0,4619,4095.0,524.0,55,10.0,01/02/2021 12:00:00 AM,Agree,Agree
27847,2021-01-01,DE,59670,57252.0,2418.0,823,31.0,930,828.0,102.0,0,0.0,01/03/2021 12:00:00 AM,Agree,Agree
19827,2021-01-01,MA,375178,359445.0,15733.0,0,0.0,12677,12409.0,268.0,64,1.0,01/03/2021 12:00:00 AM,Agree,Agree
1598,2021-01-01,IL,963389,963389.0,0.0,0,0.0,18173,16647.0,1526.0,195,38.0,01/02/2021 02:50:51 PM,Agree,Agree
5749,2021-01-01,ME,25243,21410.0,3833.0,1042,269.0,358,352.0,6.0,11,0.0,01/02/2021 02:50:51 PM,Agree,Agree
23664,2021-01-01,WI,522523,483007.0,39516.0,2085,180.0,5254,4869.0,385.0,12,2.0,01/02/2021 02:50:51 PM,Agree,Agree
9425,2021-01-01,FSM,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/02/2021 02:50:51 PM,Agree,Agree
3923,2021-01-01,AL,393714,312452.0,81262.0,2297,360.0,7247,5950.0,1297.0,82,20.0,01/03/2021 12:00:00 AM,Agree,Agree
3820,2021-01-01,NC,583219,525520.0,57699.0,9054,1541.0,7965,7363.0,602.0,79,10.0,01/01/2021 12:00:00 AM,Agree,Agree
32212,2021-01-01,KY,281011,225193.0,55818.0,1496,352.0,4872,4403.0,469.0,49,5.0,01/03/2021 12:00:00 AM,Agree,Agree
25469,2021-01-02,MI,593448,545091.0,48357.0,2536,284.0,13999,13206.0,793.0,78,7.0,01/03/2021 12:00:00 AM,Agree,Agree
19334,2021-01-02,OK,331382,270148.0,61234.0,2356,758.0,4684,4147.0,537.0,65,13.0,01/03/2021 12:00:00 AM,Agree,Agree
13808,2021-01-02,NYC,452671,400001.0,52670.0,4165,779.0,25149,20399.0,4750.0,42,1.0,12/31/2020 12:00:00 AM,Agree,Agree
13858,2021-01-02,MP,122,122.0,0.0,0,0.0,2,2.0,0.0,0,0.0,01/03/2021 02:53:25 PM,Agree,Agree
3698,2021-01-02,NC,586646,528222.0,58424.0,3427,725.0,8081,7461.0,620.0,116,18.0,01/02/2021 12:00:00 AM,Agree,Agree
24439,2021-01-02,DE,60298,57849.0,2449.0,628,31.0,930,828.0,102.0,0,0.0,01/04/2021 12:00:00 AM,Agree,Agree
29990,2021-01-02,KY,283884,227433.0,56451.0,2873,633.0,4910,4434.0,476.0,38,7.0,01/04/2021 12:00:00 AM,Agree,Agree
30009,2021-01-02,VA,363765,303881.0,59884.0,5010,1092.0,5124,4516.0,608.0,7,0.0,01/03/2021 02:53:25 PM,Agree,Agree
32022,2021-01-02,AZ,539508,512405.0,27103.0,8886,634.0,9061,8166.0,895.0,46,8.0,01/03/2021 02:53:25 PM,Agree,Agree
12328,2021-01-02,CO,339172,324946.0,14226.0,2011,9.0,4912,4259.0,653.0,39,1.0,01/03/2021 02:53:25 PM,Agree,Agree
282,2021-01-02,MS,225642,152316.0,73326.0,1889,1292.0,5713,4253.0,1460.0,47,30.0,01/04/2021 12:00:00 AM,Agree,Agree
28966,2021-01-02,CT,190120,178949.0,11171.0,4412,142.0,6099,4937.0,1162.0,104,21.0,01/03/2021 02:53:25 PM,Agree,Agree
24517,2021-01-02,WI,523652,484085.0,39567.0,1129,51.0,5256,4870.0,386.0,2,1.0,01/03/2021 02:53:25 PM,Agree,Agree
32801,2021-01-02,WY,44573,38163.0,6410.0,164,11.0,438,438.0,0.0,0,0.0,01/03/2021 02:53:25 PM,Agree,Agree
18391,2021-01-02,MA,384181,367987.0,16194.0,9003,461.0,12758,12488.0,270.0,81,2.0,01/04/2021 12:00:00 AM,Agree,Agree
4762,2021-01-02,AL,397131,314885.0,82246.0,3417,984.0,7325,6008.0,1317.0,78,20.0,01/04/2021 12:00:00 AM,Agree,Agree
31186,2021-01-02,OR,116348,114628.0,1720.0,2439,0.0,1492,1477.0,15.0,15,0.0,01/03/2021 02:53:25 PM,Agree,Agree
10733,2021-01-02,PR,78169,73399.0,4770.0,237,0.0,1545,1279.0,266.0,19,1.0,01/03/2021 02:53:25 PM,Agree,Agree
13630,2021-01-02,UT,281654,281654.0,0.0,1932,0.0,1294,1266.0,28.0,16,2.0,01/03/2021 02:53:25 PM,Agree,Agree
21830,2021-01-02,TN,614480,534629.0,79851.0,2107,470.0,7973,6710.0,1263.0,98,35.0,01/02/2021 12:00:00 AM,Agree,Agree
25596,2021-01-02,ME,25590,21691.0,3899.0,347,66.0,359,353.0,6.0,1,0.0,01/03/2021 02:53:25 PM,Agree,Agree
8230,2021-01-02,FSM,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/03/2021 02:53:25 PM,Agree,Agree
21412,2021-01-02,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/03/2021 02:53:25 PM,Agree,Agree
25311,2021-01-02,IL,975352,975352.0,0.0,11963,0.0,18217,16674.0,1543.0,44,17.0,01/03/2021 02:53:25 PM,Agree,Agree
3187,2021-01-02,MT,81944,81944.0,0.0,389,0.0,971,971.0,0.0,10,0.0,01/03/2021 02:53:25 PM,Agree,Agree
22545,2021-01-02,OH,714673,640812.0,73861.0,14293,1817.0,9017,8154.0,863.0,55,13.0,01/03/2021 02:53:25 PM,Agree,Agree
415,2021-01-02,ID,142199,117636.0,24563.0,1122,203.0,1448,1281.0,167.0,12,0.0,01/03/2021 02:53:25 PM,Agree,Agree
14110,2021-01-02,GA,685122,581999.0,103123.0,7533,929.0,10960,9891.0,1069.0,2,0.0,01/03/2021 02:53:25 PM,Agree,Agree
28860,2021-01-03,MI,595792,547182.0,48610.0,2344,253.0,14083,13283.0,800.0,84,7.0,01/04/2021 12:00:00 AM,Agree,Agree
9182,2021-01-03,AZ,556745,528720.0,28025.0,17237,922.0,9061,8168.0,893.0,0,-2.0,01/04/2021 02:55:45 PM,Agree,Agree
9550,2021-01-03,KY,286295,229191.0,57104.0,2411,653.0,4957,4474.0,483.0,47,7.0,01/05/2021 12:00:00 AM,Agree,Agree
29404,2021-01-03,MT,82381,82381.0,0.0,437,0.0,972,972.0,0.0,1,0.0,01/04/2021 02:55:45 PM,Agree,Agree
14791,2021-01-03,OH,721481,646474.0,75007.0,6808,1146.0,9076,8199.0,877.0,59,14.0,01/04/2021 02:55:45 PM,Agree,Agree
5673,2021-01-03,AL,400416,317225.0,83191.0,3285,945.0,7400,6058.0,1342.0,75,25.0,01/05/2021 12:00:00 AM,Agree,Agree
18666,2021-01-03,CO,341250,326953.0,14297.0,2078,71.0,4934,4280.0,654.0,22,1.0,01/04/2021 02:55:45 PM,Agree,Agree
16315,2021-01-03,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/04/2021 02:55:45 PM,Agree,Agree
13974,2021-01-03,PR,78805,73957.0,4848.0,636,78.0,1555,1289.0,266.0,10,0.0,01/04/2021 02:55:45 PM,Agree,Agree
13280,2021-01-03,NYC,454786,401330.0,53456.0,2115,786.0,25190,20436.0,4754.0,41,4.0,01/01/2021 12:00:00 AM,Agree,Agree
30465,2021-01-03,WY,44875,38440.0,6435.0,302,25.0,438,438.0,0.0,0,0.0,01/04/2021 02:55:45 PM,Agree,Agree
2039,2021-01-03,NC,593461,533664.0,59797.0,6815,1373.0,8164,7524.0,640.0,83,20.0,01/03/2021 12:00:00 AM,Agree,Agree
26083,2021-01-03,MS,226936,152953.0,73983.0,1294,657.0,5748,4276.0,1472.0,35,12.0,01/05/2021 12:00:00 AM,Agree,Agree
5825,2021-01-03,ME,25966,21994.0,3972.0,376,73.0,360,354.0,6.0,1,0.0,01/04/2021 02:55:45 PM,Agree,Agree
