date,people_vaccinated
2020-12-20,556208
2020-12-21,614117
2020-12-23,1008025
2020-12-26,1944585
2020-12-28,2127143
2020-12-30,2794588
2021-01-02,4225756
2021-01-04,4563260
2021-01-05,4836469
2021-01-06,5306797
2021-01-07,5919418
2021-01-08,6688231
2021-01-11,8987322
2021-01-12,9327138
2021-01-13,0
2021-01-14,9690757
2021-01-15,10595866
2021-01-19,13595803
2021-01-20,14270441
2021-01-21,15053257
2021-01-22,16243093
2021-01-23,17390345
2021-01-24,18502131
2021-01-25,19252279
2021-01-26,19902237
2021-01-27,20687970
2021-01-28,21698606
2021-01-29,22858318
2021-01-30,24064165
2021-01-31,25201143
2021-02-01,26023153
2021-02-02,26440836
2021-02-03,27154956
2021-02-04,27905197
2021-02-05,28909497
2021-02-06,30250964
2021-02-07,31579100
2021-02-08,32340146
2021-02-09,32867213
2021-02-10,33783384
2021-02-11,34723964
2021-02-12,35834855
2021-02-13,37056122
2021-02-14,38292270
2021-02-16,39670551
2021-02-17,40268009
2021-02-18,41021049
2021-02-19,41977401
2021-02-20,42809595
2021-02-21,43628092
2021-02-22,44138118
2021-02-23,44544969
2021-02-24,45237143
2021-02-25,46074392
2021-02-26,47184199
2021-02-27,48435536
2021-02-28,49772180
2021-03-01,50732997
2021-03-02,51755447
2021-03-03,52855579
2021-03-04,54035670
2021-03-05,55547697
2021-03-06,57358849
2021-03-07,58873710
2021-03-08,60005231
2021-03-09,61088527
2021-03-10,62451150
2021-03-11,64071674
2021-03-12,65965305
2021-03-13,68884011
2021-03-14,69784210
2021-03-15,71054445
2021-03-16,72135616
2021-03-17,73669956
2021-03-18,75495716
2021-03-19,77230061
2021-03-20,79367225
2021-03-21,81415769
2021-03-22,82772416
2021-03-23,83930495
2021-03-24,85472166
2021-03-25,87343622
2021-03-26,89559225
2021-03-27,91707729
2021-03-28,93631163
2021-03-29,95015762
2021-03-30,96044046
2021-03-31,97593290
2021-04-01,99565311
2021-04-02,101804762
2021-04-03,104213478
2021-04-04,106214924
2021-04-05,107515428
2021-04-06,108301234
2021-04-07,109995734
2021-04-08,112046611
2021-04-09,114436039
2021-04-10,117142879
2021-04-11,119242902
2021-04-12,120848490
2021-04-13,122295530
2021-04-14,123917385
2021-04-15,125822868
2021-04-16,127743096
2021-04-17,129494179
2021-04-18,131247546
2021-04-19,132321628
2021-04-20,133266995
2021-04-21,134445595
2021-04-22,135791031
2021-04-23,137234889
2021-04-24,138644724
2021-04-25,139978480
2021-04-26,140969663
2021-04-27,141751857
2021-04-28,142692987
2021-04-29,143793565
2021-04-30,144894586
2021-05-01,146239208
2021-05-02,147047012
2021-05-03,147517734
2021-05-04,147894671
2021-05-05,148562891
2021-05-06,149462265
2021-05-07,150416559
2021-05-08,151315505
2021-05-09,152116936
2021-05-10,152819904
2021-05-11,153448316
2021-05-12,153986312
2021-05-13,154624231
2021-05-14,155251852
2021-05-15,156217367
2021-05-16,157132234
2021-05-17,157827208
2021-05-18,158365411
2021-05-19,159174963
2021-05-20,160177820
2021-05-21,161278336
2021-05-22,162470794
2021-05-23,163309414
2021-05-24,163907827
2021-05-25,164378258
2021-05-26,165074907
2021-05-27,165718717
2021-05-28,166388129
2021-05-29,167157043
2021-05-30,167733972
2021-06-01,168489729
2021-06-02,168734435
2021-06-03,169090262
2021-06-04,169735441
2021-06-05,170272150
2021-06-06,170833221
2021-06-07,171310738
2021-06-08,171731584
2021-06-09,172054276
2021-06-10,172423605
2021-06-11,172758350
2021-06-12,173391711
2021-06-13,173840483
2021-06-14,174234573
2021-06-15,174674144
2021-06-16,175053401
2021-06-17,175867860
2021-06-18,176290249
2021-06-19,176737141
2021-06-20,177088290
2021-06-21,177342954
2021-06-22,177635067
2021-06-23,177948892
2021-06-24,178331677
2021-06-25,178491147
2021-06-26,178873816
2021-06-27,179261269
2021-06-28,179615165
2021-06-29,179940202
2021-06-30,180674739
2021-07-01,181339416
2021-07-02,181650678
2021-07-03,182109860
2021-07-04,182412776
2021-07-06,182714064
2021-07-07,182896080
2021-07-08,183237046
2021-07-09,183542871
2021-07-10,183836917
2021-07-11,184132768
2021-07-12,184365333
2021-07-13,184543821
2021-07-14,184835149
2021-07-15,185135757
2021-07-16,185424899
2021-07-17,185765452
2021-07-18,186038501
2021-07-19,186317651
2021-07-20,186474836
2021-07-21,186819440
2021-07-22,187216168
2021-07-23,187579557
2021-07-24,187982826
2021-07-25,188472188
2021-07-26,188729282
2021-07-27,188996475
2021-07-28,189494180
2021-07-29,189945907
2021-07-30,190509183
2021-07-31,190982149
2021-08-01,191498983
2021-08-02,191818585
