,new_case,number_of_vaccinations,vaccination_rate
2020-01,44,0,0
2020-02,56,0,0
2020-03,85535,0,0
2020-04,326327,0,0
2020-05,368490,0,0
2020-06,356634,0,0
2020-07,685529,0,0
2020-08,546391,0,0
2020-09,553366,0,0
2020-10,964013,0,0
2020-11,2065574,0,0
2020-12,2712616,2794588.0,0.8514893357708714
2021-01,2582607,25201143.0,7.678593235831809
2021-02,1059251,49772180.0,15.165198049969533
2021-03,916014,97593290.0,29.735920170627665
2021-04,949937,144894586.0,44.148258988421695
2021-05,412944,167733972.0,51.10724314442413
2021-06,153377,180674739.0,55.05019469835465
2021-07,249885.0,190982149.0,58.19078275441804
