,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
23651,2020-01-22,AL,33,27.0,6.0,33,6.0,0,0.0,0.0,0,0.0,01/24/2020 12:00:00 AM,Agree,Agree
3962,2020-01-23,AL,34,28.0,6.0,1,0.0,0,0.0,0.0,0,0.0,01/25/2020 12:00:00 AM,Agree,Agree
5502,2020-01-24,AL,34,28.0,6.0,0,0.0,0,0.0,0.0,0,0.0,01/26/2020 12:00:00 AM,Agree,Agree
26587,2020-01-25,AL,37,31.0,6.0,3,0.0,0,0.0,0.0,0,0.0,01/27/2020 12:00:00 AM,Agree,Agree
4136,2020-01-26,AL,37,31.0,6.0,0,0.0,0,0.0,0.0,0,0.0,01/28/2020 12:00:00 AM,Agree,Agree
3336,2020-01-27,AL,38,32.0,6.0,1,0.0,0,0.0,0.0,0,0.0,01/29/2020 12:00:00 AM,Agree,Agree
28488,2020-01-28,AL,39,33.0,6.0,1,0.0,0,0.0,0.0,0,0.0,01/30/2020 12:00:00 AM,Agree,Agree
1549,2020-01-29,AL,40,34.0,6.0,1,0.0,0,0.0,0.0,0,0.0,01/31/2020 12:00:00 AM,Agree,Agree
23713,2020-01-30,AL,42,36.0,6.0,2,0.0,0,0.0,0.0,0,0.0,02/01/2020 12:00:00 AM,Agree,Agree
25618,2020-01-31,AL,44,36.0,8.0,2,2.0,0,0.0,0.0,0,0.0,02/02/2020 12:00:00 AM,Agree,Agree
4883,2020-02-01,AL,47,39.0,8.0,3,0.0,0,0.0,0.0,0,0.0,02/03/2020 12:00:00 AM,Agree,Agree
27169,2020-02-02,AL,48,40.0,8.0,1,0.0,0,0.0,0.0,0,0.0,02/04/2020 12:00:00 AM,Agree,Agree
25486,2020-02-03,AL,52,44.0,8.0,4,0.0,0,0.0,0.0,0,0.0,02/05/2020 12:00:00 AM,Agree,Agree
28379,2020-02-04,AL,53,45.0,8.0,1,0.0,0,0.0,0.0,0,0.0,02/06/2020 12:00:00 AM,Agree,Agree
27891,2020-02-05,AL,54,46.0,8.0,1,0.0,0,0.0,0.0,0,0.0,02/07/2020 12:00:00 AM,Agree,Agree
29054,2020-02-06,AL,54,46.0,8.0,0,0.0,0,0.0,0.0,0,0.0,02/08/2020 12:00:00 AM,Agree,Agree
27670,2020-02-07,AL,54,46.0,8.0,0,0.0,0,0.0,0.0,0,0.0,02/09/2020 12:00:00 AM,Agree,Agree
2413,2020-02-08,AL,55,47.0,8.0,1,0.0,0,0.0,0.0,0,0.0,02/10/2020 12:00:00 AM,Agree,Agree
26733,2020-02-09,AL,57,49.0,8.0,2,0.0,0,0.0,0.0,0,0.0,02/11/2020 12:00:00 AM,Agree,Agree
29612,2020-02-10,AL,58,50.0,8.0,1,0.0,0,0.0,0.0,0,0.0,02/12/2020 12:00:00 AM,Agree,Agree
23832,2020-02-11,AL,59,50.0,9.0,1,1.0,0,0.0,0.0,0,0.0,02/13/2020 12:00:00 AM,Agree,Agree
4988,2020-02-12,AL,60,50.0,10.0,1,1.0,0,0.0,0.0,0,0.0,02/14/2020 12:00:00 AM,Agree,Agree
1027,2020-02-13,AL,61,51.0,10.0,1,0.0,0,0.0,0.0,0,0.0,02/15/2020 12:00:00 AM,Agree,Agree
5591,2020-02-14,AL,64,52.0,12.0,3,2.0,0,0.0,0.0,0,0.0,02/16/2020 12:00:00 AM,Agree,Agree
24835,2020-02-15,AL,66,53.0,13.0,2,1.0,0,0.0,0.0,0,0.0,02/17/2020 12:00:00 AM,Agree,Agree
5862,2020-02-16,AL,66,53.0,13.0,0,0.0,0,0.0,0.0,0,0.0,02/18/2020 12:00:00 AM,Agree,Agree
28713,2020-02-17,AL,70,57.0,13.0,4,0.0,0,0.0,0.0,0,0.0,02/19/2020 12:00:00 AM,Agree,Agree
25529,2020-02-18,AL,70,57.0,13.0,0,0.0,0,0.0,0.0,0,0.0,02/20/2020 12:00:00 AM,Agree,Agree
24739,2020-02-19,AL,70,57.0,13.0,0,0.0,0,0.0,0.0,0,0.0,02/21/2020 12:00:00 AM,Agree,Agree
2589,2020-02-20,AL,71,58.0,13.0,1,0.0,0,0.0,0.0,0,0.0,02/22/2020 12:00:00 AM,Agree,Agree
