,date,total_cases,new_cases,population,people_vaccinated,people_fully_vaccinated,new_vaccinations
0,2020-01-22,1.0,,331002647.0,,,
1,2020-01-23,1.0,0.0,331002647.0,,,
2,2020-01-24,2.0,1.0,331002647.0,,,
3,2020-01-25,2.0,0.0,331002647.0,,,
4,2020-01-26,5.0,3.0,331002647.0,,,
5,2020-01-27,5.0,0.0,331002647.0,,,
6,2020-01-28,5.0,0.0,331002647.0,,,
7,2020-01-29,6.0,1.0,331002647.0,,,
8,2020-01-30,6.0,0.0,331002647.0,,,
9,2020-01-31,8.0,2.0,331002647.0,,,
10,2020-02-01,8.0,0.0,331002647.0,,,
11,2020-02-02,8.0,0.0,331002647.0,,,
12,2020-02-03,11.0,3.0,331002647.0,,,
13,2020-02-04,11.0,0.0,331002647.0,,,
14,2020-02-05,11.0,0.0,331002647.0,,,
15,2020-02-06,12.0,1.0,331002647.0,,,
16,2020-02-07,12.0,0.0,331002647.0,,,
17,2020-02-08,12.0,0.0,331002647.0,,,
18,2020-02-09,12.0,0.0,331002647.0,,,
19,2020-02-10,12.0,0.0,331002647.0,,,
20,2020-02-11,13.0,1.0,331002647.0,,,
21,2020-02-12,13.0,0.0,331002647.0,,,
22,2020-02-13,14.0,1.0,331002647.0,,,
23,2020-02-14,14.0,0.0,331002647.0,,,
24,2020-02-15,14.0,0.0,331002647.0,,,
25,2020-02-16,14.0,0.0,331002647.0,,,
26,2020-02-17,14.0,0.0,331002647.0,,,
27,2020-02-18,14.0,0.0,331002647.0,,,
28,2020-02-19,14.0,0.0,331002647.0,,,
29,2020-02-20,14.0,0.0,331002647.0,,,
30,2020-02-21,16.0,2.0,331002647.0,,,
31,2020-02-22,16.0,0.0,331002647.0,,,
32,2020-02-23,16.0,0.0,331002647.0,,,
33,2020-02-24,16.0,0.0,331002647.0,,,
34,2020-02-25,16.0,0.0,331002647.0,,,
35,2020-02-26,16.0,0.0,331002647.0,,,
36,2020-02-27,17.0,1.0,331002647.0,,,
37,2020-02-28,17.0,0.0,331002647.0,,,
38,2020-02-29,25.0,8.0,331002647.0,,,
39,2020-03-01,32.0,7.0,331002647.0,,,
40,2020-03-02,55.0,23.0,331002647.0,,,
41,2020-03-03,74.0,19.0,331002647.0,,,
42,2020-03-04,107.0,33.0,331002647.0,,,
43,2020-03-05,184.0,77.0,331002647.0,,,
44,2020-03-06,237.0,53.0,331002647.0,,,
45,2020-03-07,403.0,166.0,331002647.0,,,
46,2020-03-08,519.0,116.0,331002647.0,,,
47,2020-03-09,594.0,75.0,331002647.0,,,
48,2020-03-10,782.0,188.0,331002647.0,,,
