,date,total_cases,new_cases,population,people_vaccinated,people_fully_vaccinated,new_vaccinations
1,2020-12-21,18154356,198703,331002647,614117,0,57909
2,2020-12-23,18582087,229624,331002647,1008025,0,0
3,2020-12-26,19100538,226416,331002647,1944585,0,0
4,2020-12-28,19430535,174152,331002647,2127143,0,0
5,2020-12-30,19864644,233701,331002647,2794588,0,0
6,2021-01-02,20554622,300462,331002647,4225756,0,0
7,2021-01-04,20947480,184005,331002647,4563260,0,0
8,2021-01-05,21182522,235042,331002647,4836469,0,273209
9,2021-01-06,21438159,255637,331002647,5306797,0,470328
10,2021-01-07,21716496,278337,331002647,5919418,0,612621
11,2021-01-08,22011753,295257,331002647,6688231,0,768813
12,2021-01-11,22700799,214664,331002647,8987322,0,0
13,2021-01-12,22927766,226967,331002647,9327138,0,339816
14,2021-01-14,23393833,235766,331002647,9690757,1342086,870529
15,2021-01-15,23636613,242780,331002647,10595866,1610524,1130189
16,2021-01-19,24336216,176216,331002647,13595803,2023124,0
17,2021-01-20,24519477,183261,331002647,14270441,2161419,817693
18,2021-01-21,24713333,193856,331002647,15053257,2394961,1021093
19,2021-01-22,24904093,190760,331002647,16243093,2756953,1561585
20,2021-01-23,25074852,170759,331002647,17390345,3027865,1430031
21,2021-01-24,25206050,131198,331002647,18502131,3216836,1310665
22,2021-01-25,25357727,151677,331002647,19252279,3346390,885588
23,2021-01-26,25505353,147626,331002647,19902237,3481921,806751
24,2021-01-27,25659314,153961,331002647,20687970,3801053,1111640
25,2021-01-28,25828118,168804,331002647,21698606,4263056,1541048
26,2021-01-29,25994731,166613,331002647,22858318,4780888,1690979
27,2021-01-30,26137190,142459,331002647,24064165,5259693,1693241
28,2021-01-31,26249342,112152,331002647,25201143,5657142,1545397
29,2021-02-01,26384317,134975,331002647,26023153,5927847,1099103
30,2021-02-02,26499620,115303,331002647,26440836,6064792,558458
31,2021-02-03,26621311,121691,331002647,27154956,6436931,1097394
32,2021-02-04,26745317,124006,331002647,27905197,6926050,1325456
33,2021-02-05,26879739,134422,331002647,28909497,7503864,1615502
34,2021-02-06,26983915,104176,331002647,30250964,8317180,2218752
35,2021-02-07,27073661,89746,331002647,31579100,9147185,2172973
36,2021-02-08,27164099,90438,331002647,32340146,9518015,1206680
37,2021-02-09,27259364,95265,331002647,32867213,9840429,788573
38,2021-02-10,27354614,95250,331002647,33783384,10469514,1563780
39,2021-02-11,27460378,105764,331002647,34723964,11188782,1620300
40,2021-02-12,27560048,99670,331002647,35834855,12085830,2020288
41,2021-02-13,27647267,87219,331002647,37056122,13082172,2231326
42,2021-02-14,27712402,65135,331002647,38292270,14077440,2242472
43,2021-02-16,27829179,62498,331002647,39670551,15015434,0
44,2021-02-17,27899318,70139,331002647,40268009,15471536,1061463
45,2021-02-18,27969229,69911,331002647,41021049,16162358,1455940
46,2021-02-19,28048511,79282,331002647,41977401,17039118,1847276
47,2021-02-20,28120207,71696,331002647,42809595,17895667,1704457
48,2021-02-21,28177359,57152,331002647,43628092,18865319,1801134
49,2021-02-22,28233518,56159,331002647,44138118,19438495,1086840
50,2021-02-23,28305788,72270,331002647,44544969,19882544,854609
51,2021-02-24,28380537,74749,331002647,45237143,20607261,1432864
52,2021-02-25,28458041,77504,331002647,46074392,21555117,1809170
53,2021-02-26,28535390,77349,331002647,47184199,22613359,2179947
54,2021-02-27,28600016,64626,331002647,48435536,23698627,2352116
55,2021-02-28,28651438,51422,331002647,49772180,24779920,2429823
56,2021-03-01,28709536,58098,331002647,50732997,25466405,1663984
57,2021-03-02,28766634,57098,331002647,51755447,26162122,1731614
58,2021-03-03,28833825,67191,331002647,52855579,26957804,1908873
59,2021-03-04,28901885,68060,331002647,54035670,27795980,2032374
60,2021-03-05,28968304,66419,331002647,55547697,28701201,2435246
61,2021-03-06,29026558,58254,331002647,57358849,29776160,2904229
62,2021-03-07,29067631,41073,331002647,58873710,30686881,2439427
63,2021-03-08,29112548,44917,331002647,60005231,31493040,1738102
