,date,new_case,people_vaccinnated
0,2020-12-20,65418,556208.0
1,2020-12-21,70458,614117.0
3,2020-12-26,83159,1944585.0
6,2021-01-02,94268,4225756.0
8,2021-01-05,115976,4836469.0
10,2021-01-07,125366,5919418.0
13,2021-01-12,99242,9327138.0
15,2021-01-14,96142,9690757.0
16,2021-01-15,97382,10595866.0
17,2021-01-19,105111,13595803.0
18,2021-01-20,81231,14270441.0
19,2021-01-21,85979,15053257.0
22,2021-01-24,60216,18502131.0
23,2021-01-25,60844,19252279.0
24,2021-01-26,69106,19902237.0
25,2021-01-27,73187,20687970.0
26,2021-01-28,69264,21698606.0
30,2021-02-01,48557,26023153.0
31,2021-02-02,52681,26440836.0
32,2021-02-03,47188,27154956.0
33,2021-02-04,54537,27905197.0
34,2021-02-05,56842,28909497.0
35,2021-02-06,49925,30250964.0
36,2021-02-07,35628,31579100.0
37,2021-02-08,38340,32340146.0
38,2021-02-09,44746,32867213.0
39,2021-02-10,46181,33783384.0
40,2021-02-11,44178,34723964.0
41,2021-02-12,43946,35834855.0
42,2021-02-13,37558,37056122.0
43,2021-02-14,26352,38292270.0
44,2021-02-16,29576,39670551.0
45,2021-02-17,34103,40268009.0
46,2021-02-18,34951,41021049.0
47,2021-02-19,34970,41977401.0
48,2021-02-20,31645,42809595.0
49,2021-02-21,23572,43628092.0
50,2021-02-22,27318,44138118.0
51,2021-02-23,33933,44544969.0
52,2021-02-24,35083,45237143.0
53,2021-02-25,33715,46074392.0
54,2021-02-26,34182,47184199.0
55,2021-02-27,30281,48435536.0
56,2021-02-28,22339,49772180.0
58,2021-03-02,26619,51755447.0
59,2021-03-03,31908,52855579.0
60,2021-03-04,30133,54035670.0
61,2021-03-05,30657,55547697.0
62,2021-03-06,27719,57358849.0
63,2021-03-07,19978,58873710.0
64,2021-03-08,22172,60005231.0
65,2021-03-09,27751,61088527.0
66,2021-03-10,29719,62451150.0
67,2021-03-11,30575,64071674.0
68,2021-03-12,30432,65965305.0
69,2021-03-13,25524,68884011.0
70,2021-03-14,21629,69784210.0
71,2021-03-15,23397,71054445.0
72,2021-03-16,27990,72135616.0
73,2021-03-17,30645,73669956.0
74,2021-03-18,32967,75495716.0
75,2021-03-19,32646,77230061.0
76,2021-03-20,29422,79367225.0
