,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"70,831","3,961,449","35,253","1,481,476"
부산,"29,924","1,478,206","9,660","518,152"
대구,"20,962","942,028","7,141","342,219"
인천,"24,383","1,143,013","7,889","396,629"
광주,"9,966","604,392","5,012","223,235"
대전,"10,280","573,882","4,968","216,772"
울산,"10,892","439,894","3,703","139,336"
세종,"1,821","120,839","1,240","43,681"
경기,"105,565","5,120,899","46,984","1,853,076"
강원,"13,972","725,228","5,386","294,997"
충북,"14,412","702,425","5,371","261,079"
충남,"20,007","936,650","7,070","360,192"
전북,"15,811","854,189","5,803","336,369"
전남,"18,393","931,033","6,526","371,051"
경북,"27,530","1,182,969","9,064","447,178"
경남,"33,495","1,376,208","10,314","506,569"
제주,"5,524","277,890","1,750","102,340"
