사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20210101,1호선,봉명,294,282,20210104
20210101,1호선,쌍용(나사렛대),573,581,20210104
20210101,1호선,아산,978,1073,20210104
20210101,1호선,배방,387,334,20210104
20210101,1호선,온양온천,1633,1601,20210104
20210101,1호선,신창(순천향대),445,378,20210104
20210101,1호선,청량리(서울시립대입구),6411,6535,20210104
20210101,1호선,제기동,4525,4467,20210104
20210101,1호선,신설동,3367,3017,20210104
20210101,1호선,동대문,3971,3799,20210104
20210101,1호선,종로5가,3700,3698,20210104
20210101,1호선,종로3가,5502,4910,20210104
20210101,1호선,종각,5637,4936,20210104
20210101,1호선,시청,2906,2654,20210104
20210101,1호선,동묘앞,4153,4491,20210104
20210101,1호선,서울역,9260,9858,20210104
20210101,1호선,서울역,1363,520,20210104
20210101,1호선,남영,2043,1986,20210104
20210101,1호선,용산,10812,12323,20210104
20210101,1호선,노량진,3362,3143,20210104
20210101,1호선,대방,2717,2671,20210104
20210101,1호선,영등포,13323,13885,20210104
20210101,1호선,신도림,944,885,20210104
20210101,1호선,신길,2502,2072,20210104
20210101,1호선,구로,4952,5190,20210104
20210101,1호선,가산디지털단지,2239,3083,20210104
20210101,1호선,금천구청,3031,3037,20210104
20210101,1호선,석수,2443,2382,20210104
20210101,1호선,관악,2112,2046,20210104
20210101,1호선,안양,6256,6440,20210104
20210101,1호선,명학,1756,1683,20210104
20210101,1호선,금정,6731,6792,20210104
20210101,1호선,군포,1786,1591,20210104
20210101,1호선,의왕,2167,2123,20210104
20210101,1호선,성균관대,3578,3646,20210104
20210101,1호선,화서,1715,1771,20210104
20210101,1호선,수원,13351,14446,20210104
20210101,1호선,독산,3029,3017,20210104
20210101,1호선,세류,1018,990,20210104
20210101,1호선,병점,4195,4293,20210104
20210101,1호선,세마,748,700,20210104
20210101,1호선,오산대,979,871,20210104
20210101,1호선,오산,3992,3831,20210104
20210101,1호선,진위,444,391,20210104
20210101,1호선,송탄,1869,1683,20210104
20210101,1호선,서정리,2276,1967,20210104
20210101,1호선,지제,862,923,20210104
20210101,1호선,평택,5087,5111,20210104
20210101,1호선,성환,1289,1156,20210104
20210101,1호선,직산,279,258,20210104
20210101,1호선,두정,2101,2111,20210104
20210101,1호선,천안,2302,2505,20210104
20210101,1호선,당정,1389,1394,20210104
20210101,1호선,서동탄,313,327,20210104
20210101,1호선,광명,686,688,20210104
20210101,1호선,이촌(국립중앙박물관),828,637,20210104
20210101,1호선,서빙고,427,365,20210104
20210101,1호선,한남,1014,929,20210104
20210101,1호선,옥수,9,18,20210104
20210101,1호선,응봉,550,475,20210104
20210101,1호선,왕십리(성동구청),4224,5014,20210104
20210101,1호선,청량리(서울시립대입구),4434,5033,20210104
20210101,1호선,외대앞,2275,2208,20210104
20210101,1호선,신이문,2439,2308,20210104
20210101,1호선,석계,2415,2556,20210104
20210101,1호선,광운대,2238,2262,20210104
20210101,1호선,월계,1949,1895,20210104
20210101,1호선,녹천,1461,1203,20210104
20210101,1호선,방학,3024,2933,20210104
20210101,1호선,도봉,1805,1765,20210104
20210101,1호선,도봉산,4159,2890,20210104
20210101,1호선,망월사,2131,2236,20210104
20210101,1호선,회룡,3280,3378,20210104
20210101,1호선,의정부,6357,6358,20210104
20210101,1호선,가능,2071,2035,20210104
20210101,1호선,녹양,1302,1307,20210104
20210101,1호선,양주,2221,2255,20210104
20210101,1호선,덕계,739,779,20210104
20210101,1호선,덕정,1625,1606,20210104
