사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20210814,1호선,가능,4372,4193,20210817
20210814,1호선,가산디지털단지,4839,6194,20210817
20210814,1호선,가좌,3231,2964,20210817
20210814,1호선,강매,1594,1525,20210817
20210814,1호선,곡산,330,336,20210817
20210814,1호선,공덕,1738,1499,20210817
20210814,1호선,관악,4628,4483,20210817
20210814,1호선,광명,1810,1872,20210817
20210814,1호선,광운대,4567,4350,20210817
20210814,1호선,구로,10126,10035,20210817
20210814,1호선,군포,3590,3293,20210817
20210814,1호선,금릉,2990,2905,20210817
20210814,1호선,금정,14223,14144,20210817
20210814,1호선,금천구청,6445,6476,20210817
20210814,1호선,금촌,4522,4418,20210817
20210814,1호선,남영,4270,4361,20210817
20210814,1호선,노량진,6185,5365,20210817
20210814,1호선,녹양,2738,2713,20210817
20210814,1호선,녹천,2838,2350,20210817
20210814,1호선,능곡,2330,2247,20210817
20210814,1호선,당정,3113,2987,20210817
20210814,1호선,대방,6057,5940,20210817
20210814,1호선,덕계,1845,1735,20210817
20210814,1호선,덕정,3513,3284,20210817
20210814,1호선,도봉,3866,3633,20210817
20210814,1호선,도봉산,7462,5184,20210817
20210814,1호선,독산,6868,6826,20210817
20210814,1호선,동대문,7765,7506,20210817
20210814,1호선,동두천,1352,1771,20210817
20210814,1호선,동두천중앙,2022,2187,20210817
20210814,1호선,동묘앞,9368,9560,20210817
20210814,1호선,두정,3679,3798,20210817
20210814,1호선,디지털미디어시티,1537,1294,20210817
20210814,1호선,망월사,4774,4883,20210817
20210814,1호선,명학,3887,3706,20210817
20210814,1호선,문산,4004,3959,20210817
20210814,1호선,방학,6090,5878,20210817
20210814,1호선,배방,744,736,20210817
20210814,1호선,백마,3319,3226,20210817
20210814,1호선,병점,9492,9226,20210817
20210814,1호선,보산,1189,1159,20210817
20210814,1호선,봉명,591,559,20210817
20210814,1호선,서강대,1481,1266,20210817
20210814,1호선,서동탄,783,796,20210817
20210814,1호선,서빙고,1129,959,20210817
20210814,1호선,서울역,21222,23912,20210817
20210814,1호선,서울역,6,18,20210817
20210814,1호선,서울역,952,1038,20210817
20210814,1호선,서울역,3535,1418,20210817
20210814,1호선,서정리,5033,4279,20210817
20210814,1호선,석계,5303,5489,20210817
20210814,1호선,석수,5422,5004,20210817
20210814,1호선,성균관대,7681,7524,20210817
20210814,1호선,성환,2352,2206,20210817
20210814,1호선,세류,1926,1963,20210817
20210814,1호선,세마,1625,1455,20210817
20210814,1호선,소요산,3780,3306,20210817
20210814,1호선,송탄,3942,3556,20210817
20210814,1호선,수색,1169,1114,20210817
20210814,1호선,수원,27529,30301,20210817
20210814,1호선,시청,5601,3452,20210817
20210814,1호선,신길,5024,4123,20210817
20210814,1호선,신도림,2068,2129,20210817
20210814,1호선,신설동,7557,7101,20210817
20210814,1호선,신이문,5103,4530,20210817
20210814,1호선,신창(순천향대),890,766,20210817
20210814,1호선,신촌,276,258,20210817
20210814,1호선,쌍용(나사렛대),1287,1175,20210817
20210814,1호선,아산,2082,2146,20210817
20210814,1호선,안양,13843,13874,20210817
20210814,1호선,야당,4230,4237,20210817
20210814,1호선,양주,5224,5004,20210817
20210814,1호선,영등포,27392,29079,20210817
20210814,1호선,오산,7372,7006,20210817
20210814,1호선,오산대,2145,1989,20210817
20210814,1호선,옥수,32,32,20210817
20210814,1호선,온양온천,3615,3813,20210817
20210814,1호선,왕십리(성동구청),9515,10793,20210817
20210814,1호선,외대앞,4550,4535,20210817
20210814,1호선,용산,24667,29066,20210817
20210814,1호선,운정,3748,3632,20210817
20210814,1호선,월계,3669,3541,20210817
20210814,1호선,월롱,1234,1115,20210817
20210814,1호선,응봉,1136,899,20210817
20210814,1호선,의왕,4716,4618,20210817
20210814,1호선,의정부,13576,14453,20210817
20210814,1호선,이촌(국립중앙박물관),2520,1794,20210817
20210814,1호선,일산,4864,4777,20210817
20210814,1호선,임진강,81,48,20210817
20210814,1호선,제기동,12330,12612,20210817
20210814,1호선,종각,13776,12412,20210817
20210814,1호선,종로3가,18102,17077,20210817
20210814,1호선,종로5가,13993,13791,20210817
20210814,1호선,지행,4331,4339,20210817
20210814,1호선,직산,533,559,20210817
20210814,1호선,진위,789,687,20210817
20210814,1호선,천안,4950,5465,20210817
20210814,1호선,청량리(서울시립대입구),12553,14793,20210817
20210814,1호선,청량리(서울시립대입구),14949,15326,20210817
20210814,1호선,탄현,4236,4153,20210817
20210814,1호선,파주,687,582,20210817
20210814,1호선,평택,10612,10475,20210817
20210814,1호선,평택지제,2397,2237,20210817
20210814,1호선,풍산,3404,3299,20210817
20210814,1호선,한남,2401,2140,20210817
20210814,1호선,행신,3907,4101,20210817
20210814,1호선,홍대입구,1525,1604,20210817
20210814,1호선,화서,3745,3701,20210817
20210814,1호선,화전,822,792,20210817
20210814,1호선,회룡,7801,7912,20210817
20210814,1호선,효창공원앞,1397,1567,20210817
20210813,1호선,가능,5869,5624,20210816
20210813,1호선,가산디지털단지,15360,17984,20210816
20210813,1호선,가좌,4778,4563,20210816
