사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20200501,1호선,신창(순천향대),1190,857,20200504
20200501,1호선,온양온천,3204,3209,20200504
20200501,1호선,배방,869,709,20200504
20200501,1호선,아산,1906,1882,20200504
20200501,1호선,쌍용(나사렛대),1308,1153,20200504
20200501,1호선,봉명,569,583,20200504
20200501,1호선,도화,2515,2216,20200504
20200501,1호선,중동,5848,5529,20200504
20200501,1호선,온수(성공회대입구),4146,3862,20200504
20200501,1호선,도원,2168,2117,20200504
20200501,1호선,간석,3856,3595,20200504
20200501,1호선,부개,5470,5069,20200504
20200501,1호선,소사,6696,6150,20200504
20200501,1호선,구일,3700,3627,20200504
20200501,1호선,인천,4132,3682,20200504
20200501,1호선,동인천,11167,10758,20200504
20200501,1호선,제물포,6475,6031,20200504
20200501,1호선,주안,13961,12453,20200504
20200501,1호선,동암,11286,11387,20200504
20200501,1호선,백운,4864,4691,20200504
20200501,1호선,부평,25210,27934,20200504
20200501,1호선,송내,16973,16571,20200504
20200501,1호선,부천,25582,26242,20200504
20200501,1호선,역곡,18024,17440,20200504
20200501,1호선,오류동,7706,7088,20200504
20200501,1호선,개봉,14110,13768,20200504
20200501,1호선,소요산,3777,3194,20200504
20200501,1호선,동두천,1487,1936,20200504
20200501,1호선,보산,1177,1078,20200504
20200501,1호선,동두천중앙,2364,2261,20200504
20200501,1호선,지행,4687,4666,20200504
20200501,1호선,덕정,4090,3841,20200504
20200501,1호선,덕계,1685,1560,20200504
20200501,1호선,양주,5907,5501,20200504
20200501,1호선,녹양,3231,3090,20200504
20200501,1호선,가능,4846,4460,20200504
20200501,1호선,의정부,14517,15358,20200504
20200501,1호선,회룡,8366,8243,20200504
20200501,1호선,망월사,5039,4904,20200504
20200501,1호선,도봉산,7940,5480,20200504
20200501,1호선,도봉,4343,4058,20200504
20200501,1호선,방학,6901,6612,20200504
20200501,1호선,녹천,3040,2462,20200504
20200501,1호선,월계,4086,3644,20200504
20200501,1호선,광운대,5635,5301,20200504
20200501,1호선,석계,6367,6860,20200504
20200501,1호선,신이문,5961,5317,20200504
20200501,1호선,외대앞,5507,5005,20200504
20200501,1호선,청량리(서울시립대입구),13192,14388,20200504
20200501,1호선,왕십리(성동구청),9818,10898,20200504
20200501,1호선,응봉,1278,1100,20200504
20200501,1호선,옥수,39,22,20200504
20200501,1호선,한남,2553,2504,20200504
20200501,1호선,서빙고,1056,930,20200504
20200501,1호선,이촌(국립중앙박물관),2693,1908,20200504
20200501,1호선,광명,1768,1629,20200504
20200501,1호선,서동탄,902,907,20200504
20200501,1호선,당정,3615,3424,20200504
20200501,1호선,천안,5034,5221,20200504
20200501,1호선,두정,3548,3535,20200504
20200501,1호선,직산,609,572,20200504
20200501,1호선,성환,2545,2402,20200504
20200501,1호선,평택,10059,9987,20200504
20200501,1호선,지제,1447,1462,20200504
20200501,1호선,서정리,3759,3778,20200504
20200501,1호선,송탄,3152,2933,20200504
20200501,1호선,진위,835,761,20200504
20200501,1호선,오산,7438,7142,20200504
20200501,1호선,오산대,2018,1929,20200504
20200501,1호선,세마,1720,1438,20200504
20200501,1호선,병점,9148,9264,20200504
20200501,1호선,세류,2230,2151,20200504
20200501,1호선,독산,7500,7454,20200504
20200501,1호선,수원,29948,33391,20200504
20200501,1호선,화서,4391,4168,20200504
20200501,1호선,성균관대,8462,8337,20200504
20200501,1호선,의왕,5097,4924,20200504
20200501,1호선,군포,4037,3778,20200504
20200501,1호선,금정,15383,15739,20200504
20200501,1호선,명학,3958,3681,20200504
20200501,1호선,안양,15716,15775,20200504
20200501,1호선,관악,4669,4359,20200504
20200501,1호선,석수,6220,5650,20200504
20200501,1호선,금천구청,7423,7061,20200504
20200501,1호선,가산디지털단지,5551,7202,20200504
20200501,1호선,구로,9687,10213,20200504
20200501,1호선,신길,5369,4340,20200504
20200501,1호선,신도림,2306,2286,20200504
20200501,1호선,영등포,31989,33621,20200504
20200501,1호선,대방,6598,6670,20200504
20200501,1호선,노량진,7616,6783,20200504
20200501,1호선,용산,25618,28480,20200504
20200501,1호선,남영,5286,5472,20200504
20200501,1호선,서울역,3804,935,20200504
20200501,1호선,동묘앞,8772,9589,20200504
20200501,1호선,청량리(서울시립대입구),17059,17496,20200504
20200501,1호선,제기동,14743,15200,20200504
20200501,1호선,신설동,8901,8472,20200504
20200501,1호선,동대문,11003,11647,20200504
20200501,1호선,종로5가,18099,18160,20200504
20200501,1호선,종로3가,20442,20029,20200504
20200501,1호선,종각,18057,17459,20200504
20200501,1호선,시청,8763,8287,20200504
20200501,1호선,서울역,25838,26496,20200504
20200502,1호선,도화,2341,2041,20200505
20200502,1호선,중동,5499,5193,20200505
20200502,1호선,온수(성공회대입구),3895,3686,20200505
20200502,1호선,도원,1821,1854,20200505
20200502,1호선,간석,3612,3337,20200505
20200502,1호선,부개,5255,4949,20200505
20200502,1호선,소사,6937,6638,20200505
20200502,1호선,구일,3713,3534,20200505
20200502,1호선,인천,4034,3571,20200505
20200502,1호선,동인천,10406,10156,20200505
20200502,1호선,제물포,6016,5712,20200505
20200502,1호선,주안,13275,11883,20200505
20200502,1호선,동암,10732,10975,20200505
20200502,1호선,백운,4578,4501,20200505
20200502,1호선,부평,24669,28026,20200505
20200502,1호선,송내,15883,15464,20200505
20200502,1호선,부천,25134,25926,20200505
20200502,1호선,역곡,16936,16602,20200505
20200502,1호선,오류동,7336,6611,20200505
20200502,1호선,개봉,13824,13646,20200505
20200502,1호선,소요산,3726,3114,20200505
20200502,1호선,동두천,1243,1784,20200505
20200502,1호선,보산,1068,1055,20200505
20200502,1호선,동두천중앙,2229,2242,20200505
20200502,1호선,지행,4370,4420,20200505
20200502,1호선,덕정,3869,3662,20200505
20200502,1호선,덕계,1559,1469,20200505
20200502,1호선,양주,5288,4938,20200505
20200502,1호선,녹양,3002,2821,20200505
20200502,1호선,가능,4391,4114,20200505
20200502,1호선,의정부,13929,14949,20200505
20200502,1호선,회룡,7801,7848,20200505
20200502,1호선,망월사,4597,4590,20200505
20200502,1호선,도봉산,8237,5705,20200505
20200502,1호선,도봉,3653,3360,20200505
20200502,1호선,방학,6252,6153,20200505
20200502,1호선,녹천,2865,2383,20200505
20200502,1호선,월계,3941,3435,20200505
20200502,1호선,광운대,4943,4659,20200505
20200502,1호선,석계,5979,6536,20200505
20200502,1호선,신이문,5385,4766,20200505
20200502,1호선,외대앞,5021,4881,20200505
20200502,1호선,청량리(서울시립대입구),12791,13682,20200505
20200502,1호선,왕십리(성동구청),9804,11170,20200505
20200502,1호선,응봉,1238,1038,20200505
20200502,1호선,옥수,48,40,20200505
20200502,1호선,한남,2399,2329,20200505
20200502,1호선,서빙고,1057,949,20200505
20200502,1호선,이촌(국립중앙박물관),2512,1778,20200505
20200502,1호선,광명,2018,1536,20200505
20200502,1호선,서동탄,871,904,20200505
20200502,1호선,당정,3357,3186,20200505
20200502,1호선,천안,5103,4921,20200505
20200502,1호선,두정,3217,3363,20200505
20200502,1호선,직산,637,583,20200505
20200502,1호선,성환,2586,2498,20200505
20200502,1호선,평택,9924,9824,20200505
20200502,1호선,지제,1442,1340,20200505
20200502,1호선,서정리,3763,4014,20200505
20200502,1호선,송탄,3105,2962,20200505
20200502,1호선,진위,792,680,20200505
20200502,1호선,오산,7212,6948,20200505
20200502,1호선,오산대,1982,1744,20200505
20200502,1호선,세마,1670,1507,20200505
20200502,1호선,병점,8957,9138,20200505
20200502,1호선,신창(순천향대),920,929,20200505
20200502,1호선,온양온천,3136,3158,20200505
20200502,1호선,배방,732,733,20200505
20200502,1호선,아산,1947,1790,20200505
20200502,1호선,쌍용(나사렛대),1173,1065,20200505
20200502,1호선,봉명,578,526,20200505
20200502,1호선,서울역,25496,23653,20200505
20200502,1호선,시청,7179,6895,20200505
20200502,1호선,종각,15088,14638,20200505
20200502,1호선,종로3가,18601,17832,20200505
20200502,1호선,종로5가,14737,14964,20200505
20200502,1호선,동대문,10189,10335,20200505
20200502,1호선,신설동,8163,7819,20200505
20200502,1호선,제기동,13118,13607,20200505
20200502,1호선,청량리(서울시립대입구),16216,16016,20200505
20200502,1호선,동묘앞,10281,10987,20200505
20200502,1호선,서울역,4251,785,20200505
20200502,1호선,남영,4370,4439,20200505
20200502,1호선,용산,26873,26519,20200505
20200502,1호선,노량진,7415,6448,20200505
20200502,1호선,대방,6800,6752,20200505
20200502,1호선,영등포,32023,33412,20200505
20200502,1호선,신도림,2383,2448,20200505
20200502,1호선,신길,5110,4254,20200505
20200502,1호선,구로,9436,9750,20200505
20200502,1호선,가산디지털단지,4667,6411,20200505
20200502,1호선,금천구청,6698,6541,20200505
20200502,1호선,석수,5891,5471,20200505
20200502,1호선,관악,4749,4415,20200505
20200502,1호선,안양,14891,14948,20200505
20200502,1호선,명학,4041,3828,20200505
20200502,1호선,금정,14762,14769,20200505
20200502,1호선,군포,3852,3500,20200505
20200502,1호선,의왕,4771,4647,20200505
20200502,1호선,성균관대,8177,8094,20200505
20200502,1호선,화서,4045,3917,20200505
20200502,1호선,수원,30680,32718,20200505
20200502,1호선,독산,6718,6573,20200505
20200502,1호선,세류,2128,2055,20200505
20200503,1호선,종각,10987,9900,20200506
20200503,1호선,서울역,24008,19192,20200506
20200503,1호선,신창(순천향대),855,905,20200506
20200503,1호선,온양온천,2796,2736,20200506
20200503,1호선,배방,580,663,20200506
20200503,1호선,아산,2094,1472,20200506
