,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
서울,183,228,452,288,2267,1424,719,2802,10202,5166,4083,3803,5811,5932,5908,14377
인천,29,113,135,42,335,200,129,365,1431,974,618,627,607,515,546,2293
경기,200,164,367,339,1714,1123,1020,1875,7178,5359,3752,5029,5617,4737,4828,11729
강원,17,4,8,9,115,35,55,373,555,488,169,466,354,484,364,934
충남,15,3,22,23,142,152,57,358,724,363,428,187,402,499,254,1142
세종,0,1,3,0,17,9,6,18,49,47,30,44,87,117,80,176
충북,1,15,5,9,55,43,18,138,837,411,182,435,438,309,346,544
대전,4,6,71,49,90,105,82,52,351,252,93,96,444,341,555,1538
경북,65,14,10,12,54,96,36,117,720,594,254,251,611,573,247,507
전북,5,3,6,12,48,41,38,168,503,202,152,260,485,290,139,403
대구,168,31,23,34,107,85,42,58,570,515,316,308,425,549,640,1072
전남,6,4,5,14,104,27,16,239,136,190,110,54,140,401,176,388
광주,10,2,12,160,170,121,16,185,385,702,301,125,200,387,130,463
경남,21,6,11,25,77,55,25,309,702,686,172,777,955,776,533,1957
울산,4,9,3,4,30,58,16,35,476,264,76,141,725,692,239,382
부산,18,10,7,17,130,120,171,217,1060,889,466,583,1244,606,532,1986
제주,4,2,4,7,19,14,0,21,338,106,48,55,82,315,215,468
